pwc_task_label,pwc_area_label,record_count,task_total_records,area_total_records
3D dense captioning,General,10,25,114234
Robot Manipulation Generalization,Computer Vision,10,19,54472
Event-based vision,Natural Language Processing,10,144,40996
Learning with noisy labels,Natural Language Processing,10,248,40996
Hybrid Machine Learning,Sequential,10,103,6593
nlg evaluation,General,10,68,114234
Stereo Image Super-Resolution,Computer Vision,10,24,54472
Object Rearrangement,General,10,63,114234
Travel Time Estimation,General,10,55,114234
Flare Removal,Computer Vision,10,24,54472
quantile regression,Natural Language Processing,10,420,40996
Text-to-Music Generation,General,10,37,114234
Event-based vision,Computer Vision,10,144,54472
Remote Sensing Image Classification,Natural Language Processing,10,93,40996
Action Understanding,Natural Language Processing,10,88,40996
LLM-generated Text Detection,Natural Language Processing,10,22,40996
Formal Logic,Natural Language Processing,10,72,40996
In-Context Reinforcement Learning,General,10,33,114234
Safety Alignment,Reinforcement Learning,10,288,6988
Multimodal Large Language Model,Graphs,10,346,12318
Robust Speech Recognition,Computer Vision,9,96,54472
Age Classification,General,9,29,114234
Disease Prediction,Sequential,9,260,6593
One-Shot Segmentation,Computer Vision,9,35,54472
Reading Comprehension,Reinforcement Learning,9,1732,6988
Sequence-To-Sequence Speech Recognition,General,9,22,114234
Informativeness,Reinforcement Learning,9,732,6988
Skin Cancer Segmentation,General,9,13,114234
Skin Cancer Segmentation,Computer Vision,9,13,54472
Domain Generalization,Sequential,9,1744,6593
AI Agent,Reinforcement Learning,9,391,6988
Unsupervised Anomaly Detection,Sequential,9,506,6593
High-Level Synthesis,Computer Vision,9,96,54472
Spoken Language Understanding,Sequential,9,547,6593
Constituency Parsing,Sequential,9,199,6593
Authorship Attribution,Computer Vision,9,208,54472
Text-To-SQL,Computer Vision,9,413,54472
Single Image Deblurring,Computer Vision,9,35,54472
Histopathological Image Classification,Computer Vision,9,40,54472
Multispectral Object Detection,Computer Vision,9,38,54472
Value prediction,Reinforcement Learning,9,83,6988
X-ray Classification,Computer Vision,9,70,54472
Heterogeneous Node Classification,Graphs,9,16,12318
Breast Cancer Histology Image Classification,General,9,17,114234
Missing Elements,General,9,46,114234
Myocardium Segmentation,General,9,23,114234
Coreference Resolution,Computer Vision,9,869,54472
Few-Shot 3D Point Cloud Classification,Natural Language Processing,9,31,40996
Tensor Networks,Computer Vision,9,226,54472
2D Semantic Segmentation,Natural Language Processing,9,79,40996
Suggestion mining,General,9,32,114234
Organ Segmentation,Graphs,9,304,12318
Vocal Bursts Intensity Prediction,Audio,9,2608,488
Image Attribution,General,9,26,114234
Interpretability Techniques for Deep Learning,General,9,25,114234
Person Identification,Natural Language Processing,9,106,40996
Time Series Clustering,Sequential,9,113,6593
Transition-Based Dependency Parsing,General,9,66,114234
Text Compression,General,9,43,114234
Drug–drug Interaction Extraction,General,9,26,114234
Audio Super-Resolution,Computer Vision,9,21,54472
Brain Tumor Segmentation,Graphs,9,435,12318
Sentence Compression,General,9,147,114234
Vessel Detection,General,9,29,114234
Vessel Detection,Computer Vision,9,29,54472
Action Quality Assessment,General,9,52,114234
Vocal Bursts Valence Prediction,Sequential,9,1154,6593
Person Recognition,General,9,63,114234
Small Data Image Classification,Sequential,9,178,6593
Econometrics,Computer Vision,9,232,54472
Node Property Prediction,Computer Vision,9,54,54472
Node Property Prediction,General,9,54,114234
Image-to-Image Regression,General,9,22,114234
Audio Generation,Sequential,9,270,6593
Scene Text Recognition,Sequential,9,267,6593
Text Categorization,Sequential,9,246,6593
Multiple-choice,Sequential,9,1097,6593
Optic Disc Segmentation,General,9,19,114234
Contour Detection,General,9,69,114234
Optical Character Recognition,Sequential,9,526,6593
Artificial Life,General,9,110,114234
Lesion Classification,Graphs,9,188,12318
Online Clustering,Computer Vision,9,86,54472
Gaze Estimation,Natural Language Processing,9,248,40996
Stock Market Prediction,Natural Language Processing,9,104,40996
Pose Estimation,Reinforcement Learning,9,4220,6988
Machine Reading Comprehension,Computer Vision,9,541,54472
Brain Image Segmentation,Computer Vision,9,30,54472
Resynthesis,General,9,51,114234
Fine-Grained Visual Categorization,Computer Vision,9,69,54472
Vocal Bursts Type Prediction,Sequential,9,670,6593
One-Shot Object Detection,General,9,20,114234
Jet Tagging,General,9,45,114234
Object Detection In Aerial Images,Natural Language Processing,9,107,40996
Word Sense Induction,General,9,107,114234
Video Deblurring,Natural Language Processing,9,84,40996
Dynamic neural networks,General,9,37,114234
16k,Computer Vision,9,145,54472
Node Clustering,Computer Vision,9,130,54472
3D Shape Modeling,Computer Vision,9,28,54472
Speech Representation Learning,Computer Vision,9,131,54472
Transductive Learning,Computer Vision,9,134,54472
Contour Detection,Computer Vision,9,69,54472
Image Retrieval,Sequential,9,2231,6593
Image Clustering,Natural Language Processing,9,235,40996
Question-Generation,Graphs,9,625,12318
Ad-Hoc Information Retrieval,General,9,41,114234
Micro Expression Recognition,Computer Vision,9,72,54472
Micro-Expression Recognition,Computer Vision,9,74,54472
Dialogue Evaluation,Natural Language Processing,9,96,40996
Robust 3D Semantic Segmentation,Computer Vision,9,19,54472
Cross-Lingual NER,Natural Language Processing,9,41,40996
Multi-Label Learning,Computer Vision,9,297,54472
Feature Upsampling,Computer Vision,9,25,54472
Vertical Federated Learning,Computer Vision,9,194,54472
AutoML,Reinforcement Learning,9,640,6988
Co-Salient Object Detection,General,9,44,114234
Visual Tracking,Graphs,9,524,12318
Material Recognition,Computer Vision,9,65,54472
Text-To-SQL,Sequential,9,413,6593
Binary text classification,Natural Language Processing,9,20,40996
Morphological Tagging,Natural Language Processing,9,93,40996
Multilingual text classification,Natural Language Processing,9,31,40996
Link Sign Prediction,Graphs,9,21,12318
Deformable Medical Image Registration,Computer Vision,9,37,54472
Counterfactual Reasoning,Computer Vision,9,218,54472
Bug fixing,Computer Vision,9,62,54472
Keyphrase Generation,Sequential,9,77,6593
Distributed Computing,Graphs,9,377,12318
Unsupervised Monocular Depth Estimation,Computer Vision,9,59,54472
Single Particle Analysis,Computer Vision,9,106,54472
Cross-Lingual Question Answering,General,9,24,114234
Cross-Lingual Question Answering,Natural Language Processing,9,24,40996
Grounded language learning,General,9,56,114234
Electromyography (EMG),Computer Vision,9,94,54472
Road Damage Detection,Computer Vision,9,27,54472
Document Translation,General,9,46,114234
Document Translation,Natural Language Processing,9,46,40996
Goal-Oriented Dialogue Systems,Natural Language Processing,9,45,40996
Robotic Grasping,Reinforcement Learning,9,246,6988
Review Generation,General,9,51,114234
Arousal Estimation,General,9,41,114234
Rubik's Cube,General,9,37,114234
set matching,General,9,41,114234
Hyperparameter Optimization,Graphs,9,812,12318
Self-Supervised Learning,Audio,9,5029,488
Logical Fallacies,Natural Language Processing,9,34,40996
Single Image Deblurring,General,9,35,114234
Data Free Quantization,Computer Vision,9,37,54472
Object Hallucination,Computer Vision,9,71,54472
Layout Design,General,9,65,114234
Equation Discovery,General,9,65,114234
Image Manipulation Localization,General,9,31,114234
Document Summarization,Computer Vision,9,750,54472
Gaussian Processes,Reinforcement Learning,9,1955,6988
Privacy Preserving Deep Learning,Computer Vision,9,59,54472
SSIM,Sequential,9,1333,6593
Space-time Video Super-resolution,General,9,24,114234
Activity Detection,Sequential,9,378,6593
Speech-to-Speech Translation,Computer Vision,9,117,54472
Capacity Estimation,General,9,33,114234
3D human pose and shape estimation,General,9,50,114234
Multi-Source Unsupervised Domain Adaptation,General,9,46,114234
Generalizable Novel View Synthesis,Computer Vision,9,30,54472
Group Activity Recognition,Natural Language Processing,9,65,40996
Retrosynthesis,Computer Vision,9,110,54472
Meeting Summarization,General,9,50,114234
Robust classification,Graphs,9,295,12318
Citation Prediction,Natural Language Processing,9,22,40996
Humanitarian,Natural Language Processing,9,185,40996
Sign Language Production,General,9,40,114234
Skull Stripping,Computer Vision,9,39,54472
Audio-Visual Synchronization,General,9,32,114234
3D Multi-Object Tracking,Graphs,9,101,12318
Explanation Generation,Computer Vision,9,232,54472
Image Relighting,General,9,58,114234
Video-Text Retrieval,Graphs,9,108,12318
Mathematical Proofs,Natural Language Processing,9,90,40996
Variational Monte Carlo,General,9,55,114234
Model Poisoning,Natural Language Processing,9,108,40996
3D-Aware Image Synthesis,Computer Vision,9,48,54472
Morphology classification,Computer Vision,9,30,54472
Fraud Detection,Sequential,9,545,6593
Feature Correlation,Graphs,9,123,12318
Action Recognition In Videos,Natural Language Processing,9,124,40996
Gender Prediction,Natural Language Processing,9,66,40996
Side Channel Analysis,General,9,28,114234
Chatbot,Graphs,9,963,12318
Outlier Detection,Graphs,9,702,12318
Gender Classification,Natural Language Processing,9,149,40996
Fact Verification,Computer Vision,9,211,54472
SSVEP,General,9,51,114234
News Generation,General,9,29,114234
Depression Detection,Graphs,9,157,12318
Bandwidth Extension,Computer Vision,9,50,54472
backdoor defense,Natural Language Processing,9,130,40996
Classifier calibration,General,9,29,114234
Distributed Optimization,Computer Vision,9,535,54472
License Plate Detection,General,9,39,114234
Imputation,Reinforcement Learning,9,1232,6988
Univariate Time Series Forecasting,Natural Language Processing,9,36,40996
Font Generation,General,9,52,114234
Image Compression,Graphs,9,1007,12318
Motion Generation,Graphs,9,445,12318
Graph Embedding,Reinforcement Learning,9,1184,6988
Referring Expression,Graphs,9,362,12318
Text based Person Search,General,9,37,114234
Heart rate estimation,Computer Vision,9,85,54472
Unconditional Video Generation,Computer Vision,9,15,54472
Face Image Quality Assessment,Computer Vision,9,44,54472
Defect Detection,Reinforcement Learning,9,394,6988
Motion Disentanglement,Computer Vision,9,12,54472
Answer Generation,Computer Vision,9,276,54472
Question-Answer-Generation,General,9,36,114234
Robot Manipulation,Reinforcement Learning,9,428,6988
Surgical phase recognition,Natural Language Processing,9,69,40996
Multimodal Deep Learning,Graphs,9,211,12318
3D Object Reconstruction,Natural Language Processing,9,153,40996
Conversation Summarization,General,9,31,114234
Copy Detection,General,9,47,114234
TAR,Natural Language Processing,9,111,40996
3D Hand Pose Estimation,Graphs,9,178,12318
Spatial Reasoning,Reinforcement Learning,9,451,6988
continuous-control,Graphs,9,1097,12318
Continuous Control,Graphs,9,1159,12318
Pretrained Multilingual Language Models,Natural Language Processing,9,23,40996
Raspberry Pi 4,Computer Vision,9,48,54472
Scene Parsing,Natural Language Processing,9,198,40996
Neural Rendering,Graphs,9,512,12318
Few-Shot Text Classification,Graphs,9,96,12318
BraTS2021,Computer Vision,9,15,54472
Blind Image Quality Assessment,General,9,46,114234
Synthetic Data Generation,Graphs,9,820,12318
Synthetic Data Generation,Reinforcement Learning,9,820,6988
HTR,Natural Language Processing,9,84,40996
3D Object Recognition,Natural Language Processing,9,97,40996
Traffic Signal Control,Natural Language Processing,9,201,40996
Face Presentation Attack Detection,General,9,70,114234
Universal Segmentation,Natural Language Processing,9,32,40996
Occluded Person Re-Identification,Computer Vision,9,46,54472
3D Object Tracking,Natural Language Processing,9,66,40996
Graph Representation Learning,Sequential,9,978,6593
Dense Captioning,Natural Language Processing,9,67,40996
Exposure Correction,General,9,43,114234
Hallucination,Sequential,9,1812,6593
Review Generation,Natural Language Processing,9,51,40996
Zero-Shot Action Recognition,Natural Language Processing,9,83,40996
Text to Image Generation,Reinforcement Learning,9,965,6988
Adversarial Purification,General,9,65,114234
Music Generation,Graphs,9,386,12318
3D Semantic Scene Completion,General,9,65,114234
Time Series Generation,Natural Language Processing,9,87,40996
Medical Report Generation,Graphs,9,109,12318
Highlight Detection,Natural Language Processing,9,77,40996
Video Generation,Reinforcement Learning,9,1461,6988
Video Alignment,Natural Language Processing,9,83,40996
Anomaly Segmentation,Natural Language Processing,9,116,40996
Change Point Detection,Natural Language Processing,9,285,40996
Quantum Machine Learning,Sequential,9,699,6593
Action Generation,Natural Language Processing,9,111,40996
Logical Reasoning,Reinforcement Learning,9,738,6988
Cloth-Changing Person Re-Identification,General,9,28,114234
Irregular Time Series,Natural Language Processing,9,82,40996
Text-based Person Retrieval,Computer Vision,9,26,54472
AudioCaps,Graphs,9,64,12318
Flare Removal,General,9,24,114234
Supervised Anomaly Detection,Natural Language Processing,9,155,40996
Shadow Removal,Natural Language Processing,9,127,40996
Story Visualization,General,9,41,114234
zero-shot anomaly detection,General,9,35,114234
Hierarchical Reinforcement Learning,Natural Language Processing,9,382,40996
cognitive diagnosis,General,9,42,114234
Superpixels,Natural Language Processing,9,371,40996
Machine Unlearning,Graphs,9,438,12318
Seizure Detection,Natural Language Processing,9,175,40996
Image Comprehension,General,9,49,114234
Tabular Data Generation,Natural Language Processing,9,73,40996
Audio Deepfake Detection,Natural Language Processing,9,74,40996
Compositional Zero-Shot Learning,Natural Language Processing,9,65,40996
Econometrics,Natural Language Processing,9,232,40996
In-Context Reinforcement Learning,Natural Language Processing,9,33,40996
Novel Class Discovery,Natural Language Processing,9,65,40996
Multi-Objective Reinforcement Learning,Natural Language Processing,9,143,40996
Open Vocabulary Semantic Segmentation,Natural Language Processing,9,113,40996
3D Semantic Occupancy Prediction,Natural Language Processing,9,47,40996
EgoSchema,General,9,40,114234
Video Salient Object Detection,General,8,48,114234
Speech Dereverberation,General,8,49,114234
Predictive Process Monitoring,General,8,50,114234
Time Series,Audio,8,9146,488
Machine Translation,Audio,8,10592,488
Trajectory Recovery,General,8,25,114234
Image Description,Sequential,8,154,6593
Face Hallucination,Computer Vision,8,51,54472
Video Saliency Detection,General,8,36,114234
3D Place Recognition,Computer Vision,8,27,54472
Tensor Decomposition,Sequential,8,618,6593
Collision Avoidance,Sequential,8,568,6593
Motion Planning,Sequential,8,919,6593
parameter estimation,Reinforcement Learning,8,1715,6988
Classification Of Breast Cancer Histology Images,General,8,11,114234
Supervised Video Summarization,General,8,28,114234
Video Summarization,Sequential,8,277,6593
Small-Footprint Keyword Spotting,General,8,25,114234
Face Hallucination,General,8,51,114234
Deep Hashing,Computer Vision,8,149,54472
Style Transfer,Audio,8,1650,488
Spam detection,Computer Vision,8,117,54472
Universal Segmentation,General,8,32,114234
Appearance Transfer,General,8,32,114234
Robust Face Recognition,General,8,94,114234
Selection bias,Reinforcement Learning,8,365,6988
Self-Learning,Reinforcement Learning,8,402,6988
Topic Models,Sequential,8,875,6593
Image Generation,Audio,8,6664,488
Human Part Segmentation,Computer Vision,8,18,54472
Color Constancy,Computer Vision,8,102,54472
Myocardium Segmentation,Computer Vision,8,23,54472
Entity Linking,Computer Vision,8,725,54472
Thermal Image Segmentation,Natural Language Processing,8,83,40996
Safe Exploration,Reinforcement Learning,8,135,6988
Visual Dialog,Computer Vision,8,115,54472
image smoothing,Computer Vision,8,44,54472
Multi-Label Image Recognition,Computer Vision,8,37,54472
Arabic Sentiment Analysis,General,8,42,114234
Temporal Information Extraction,General,8,85,114234
Atomic Forces,General,8,28,114234
Transition-Based Dependency Parsing,Sequential,8,66,6593
Outlier Detection,Sequential,8,702,6593
Plant Phenotyping,Computer Vision,8,74,54472
ARC,Sequential,8,550,6593
Multi-view Subspace Clustering,General,8,45,114234
Multi-Goal Reinforcement Learning,General,8,34,114234
Document Summarization,Graphs,8,750,12318
Spatio-Temporal Action Localization,Computer Vision,8,37,54472
Video Understanding,Sequential,8,1143,6593
Author Profiling,General,8,58,114234
Bayesian Optimisation,Computer Vision,8,221,54472
Video Description,Sequential,8,103,6593
Image Attribution,Computer Vision,8,26,54472
Interpretability Techniques for Deep Learning,Computer Vision,8,25,54472
Extractive Summarization,Sequential,8,311,6593
Protein Secondary Structure Prediction,General,8,26,114234
Malware Detection,Sequential,8,431,6593
Sentence Similarity,Sequential,8,192,6593
CCG Supertagging,General,8,24,114234
Synthetic Speech Detection,Computer Vision,8,29,54472
Mixture-of-Experts,Reinforcement Learning,8,1305,6988
3D Medical Imaging Segmentation,General,8,41,114234
Visual Place Recognition,Graphs,8,296,12318
Occlusion Handling,Computer Vision,8,93,54472
Stock Trend Prediction,General,8,29,114234
Knowledge Tracing,Computer Vision,8,214,54472
Classification Of Hyperspectral Images,General,8,27,114234
Permuted-MNIST,General,8,37,114234
Medical Image Retrieval,General,8,43,114234
Chinese Word Segmentation,Sequential,8,241,6593
Optic Disc Segmentation,Computer Vision,8,19,54472
Video Polyp Segmentation,General,8,25,114234
Heterogeneous Face Recognition,General,8,36,114234
Sketch Recognition,General,8,39,114234
Dynamic Link Prediction,Graphs,8,41,12318
Decision Making Under Uncertainty,Reinforcement Learning,8,263,6988
Skin Lesion Classification,Graphs,8,129,12318
Playing the Game of 2048,Computer Vision,8,57,54472
Talking Face Generation,Natural Language Processing,8,109,40996
Hand Segmentation,General,8,36,114234
Portfolio Optimization,Sequential,8,428,6593
Model Predictive Control,Sequential,8,1581,6593
Model Optimization,Reinforcement Learning,8,379,6988
Multi Label Text Classification,Computer Vision,8,135,54472
Fake Image Detection,General,8,37,114234
Event Extraction,Graphs,8,441,12318
Landmark Recognition,General,8,33,114234
STS,Sequential,8,325,6593
Audio Generation,Graphs,8,270,12318
Industrial Robots,General,8,61,114234
Cross-Lingual Transfer,Sequential,8,750,6593
Open Set Learning,Graphs,8,267,12318
Sociology,Computer Vision,8,167,54472
Patent classification,General,8,36,114234
Optical Flow Estimation,Reinforcement Learning,8,2178,6988
Partial Domain Adaptation,General,8,56,114234
Rgb-T Tracking,Computer Vision,8,55,54472
Humor Detection,Sequential,8,64,6593
fr-en,General,8,23,114234
Component Classification,General,8,18,114234
Link Prediction,Sequential,8,1937,6593
Dependency Parsing,Reinforcement Learning,8,1381,6988
Local Distortion,General,8,25,114234
global-optimization,Reinforcement Learning,8,657,6988
Transductive Learning,Graphs,8,134,12318
Adversarial Robustness,Sequential,8,1739,6593
Multivariate Time Series Imputation,General,8,38,114234
Mortality Prediction,Sequential,8,188,6593
Sand,Computer Vision,8,106,54472
Trajectory Forecasting,Sequential,8,187,6593
Inference Optimization,Computer Vision,8,56,54472
Facial Landmark Detection,Natural Language Processing,8,138,40996
Starcraft II,Sequential,8,173,6593
Abstractive Dialogue Summarization,General,8,34,114234
Intrinsic Image Decomposition,Computer Vision,8,85,54472
Sleep Stage Detection,General,8,34,114234
Medical Image Segmentation,Sequential,8,2087,6593
Adversarial Defense,Graphs,8,401,12318
Multi-Label Image Recognition,Graphs,8,37,12318
Instance Segmentation,Reinforcement Learning,8,2255,6988
Facial Action Unit Detection,Graphs,8,96,12318
Music Recommendation,Graphs,8,118,12318
Autonomous Navigation,Sequential,8,589,6593
Few-Shot Image Classification,Graphs,8,352,12318
Conversational Response Generation,General,8,21,114234
Face Parsing,Computer Vision,8,63,54472
Face Parsing,Natural Language Processing,8,63,40996
Handwritten Text Recognition,Sequential,8,139,6593
Explainable Recommendation,Computer Vision,8,94,54472
Text to SQL,Sequential,8,399,6593
Graph Mining,Computer Vision,8,174,54472
Audio-Visual Synchronization,Computer Vision,8,32,54472
Multi-Label Learning,Graphs,8,297,12318
EEG Emotion Recognition,Graphs,8,35,12318
Formality Style Transfer,General,8,19,114234
Task 2,Graphs,8,569,12318
Sentence segmentation,Natural Language Processing,8,66,40996
Extracting Buildings In Remote Sensing Images,General,8,14,114234
Change Detection,Sequential,8,915,6593
Authorship Verification,General,8,67,114234
Single-step retrosynthesis,General,8,34,114234
Action Unit Detection,Graphs,8,108,12318
Meta Reinforcement Learning,Graphs,8,276,12318
Temporal Sentence Grounding,Computer Vision,8,43,54472
Prediction Intervals,Computer Vision,8,309,54472
automatic short answer grading,General,8,27,114234
Graph Embedding,Sequential,8,1184,6593
TextVQA,Natural Language Processing,8,47,40996
Visual Dialog,Natural Language Processing,8,115,40996
Sequential Recommendation,Sequential,8,554,6593
Cloud Computing,Graphs,8,581,12318
Video Synchronization,General,8,30,114234
Segmentation Of Remote Sensing Imagery,General,8,27,114234
Segmentation Of Remote Sensing Imagery,Computer Vision,8,27,54472
Parameter Prediction,Computer Vision,8,51,54472
Multi Class Text Classification,General,8,19,114234
Vulnerability Detection,Sequential,8,216,6593
Crop Classification,Computer Vision,8,48,54472
RGB-D Salient Object Detection,Computer Vision,8,88,54472
Table Recognition,Computer Vision,8,49,54472
Table-to-Text Generation,Natural Language Processing,8,66,40996
Lipreading,Natural Language Processing,8,102,40996
Graph Generation,Reinforcement Learning,8,709,6988
Intent Detection,Computer Vision,8,328,54472
MORPH,Natural Language Processing,8,206,40996
Second-order methods,Natural Language Processing,8,181,40996
Deep Attention,Natural Language Processing,8,108,40996
distortion correction,Computer Vision,8,45,54472
Neural Network Compression,Natural Language Processing,8,193,40996
Missing Elements,Computer Vision,8,46,54472
Systematic Generalization,Computer Vision,8,124,54472
Table annotation,General,8,31,114234
Multi-Person Pose Estimation,Natural Language Processing,8,151,40996
Point Cloud Generation,Natural Language Processing,8,117,40996
Board Games,Natural Language Processing,8,131,40996
Node Clustering,Natural Language Processing,8,130,40996
Eeg Decoding,Computer Vision,8,74,54472
Few-Shot Semantic Segmentation,Graphs,8,168,12318
Image Description,Natural Language Processing,8,154,40996
Color Normalization,General,8,23,114234
Action Understanding,Graphs,8,88,12318
Music Information Retrieval,Graphs,8,255,12318
Weakly Supervised Classification,General,8,39,114234
Long-tailed Object Detection,General,8,25,114234
Speech Representation Learning,Graphs,8,131,12318
JPEG Artifact Removal,Computer Vision,8,20,54472
Physical Simulations,Computer Vision,8,100,54472
Relation Extraction,Reinforcement Learning,8,1951,6988
Definition Extraction,General,8,27,114234
Open Information Extraction,Natural Language Processing,8,205,40996
Online Clustering,Graphs,8,86,12318
Hardware Aware Neural Architecture Search,Computer Vision,8,37,54472
severity prediction,Natural Language Processing,8,67,40996
Survival Prediction,Graphs,8,233,12318
Reconstruction Attack,Computer Vision,8,68,54472
Acoustic echo cancellation,General,8,69,114234
Low-Resource Neural Machine Translation,Natural Language Processing,8,73,40996
Stereo Image Super-Resolution,General,8,24,114234
Text Clustering,Graphs,8,121,12318
Spoken language identification,General,8,50,114234
Game Design,Natural Language Processing,8,99,40996
Learning Theory,Graphs,8,850,12318
Motion Forecasting,Graphs,8,205,12318
Video Stabilization,General,8,62,114234
Zero-Shot Cross-Modal Retrieval,General,8,26,114234
Text Compression,Natural Language Processing,8,43,40996
Off-policy evaluation,Natural Language Processing,8,265,40996
Zero-shot Text-to-Image Retrieval,Computer Vision,8,14,54472
Sound Classification,Graphs,8,146,12318
Artifact Detection,Computer Vision,8,60,54472
Multi-modal Entity Alignment,Graphs,8,19,12318
Implicit Relations,Natural Language Processing,8,66,40996
Document Embedding,Graphs,8,76,12318
Weakly-Supervised Object Localization,Graphs,8,140,12318
Synthetic Image Detection,General,8,28,114234
Dynamic Time Warping,Graphs,8,433,12318
Vision-Language Navigation,Natural Language Processing,8,80,40996
Semi-Supervised Object Detection,Natural Language Processing,8,114,40996
Sentence Similarity,Graphs,8,192,12318
C++ code,Computer Vision,8,91,54472
RGB-D Salient Object Detection,Natural Language Processing,8,88,40996
Spatial Reasoning,Graphs,8,451,12318
hand-object pose,General,8,34,114234
Coronary Artery Segmentation,General,8,22,114234
Traffic Object Detection,Computer Vision,8,20,54472
Building Damage Assessment,General,8,32,114234
Explanation Generation,Graphs,8,232,12318
Seismic Inversion,General,8,25,114234
Sentence Retrieval,Graphs,8,80,12318
Travel Time Estimation,Computer Vision,8,55,54472
OpenAI Gym,Natural Language Processing,8,382,40996
Document Embedding,Natural Language Processing,8,76,40996
Few-shot NER,Natural Language Processing,8,61,40996
Attribute Value Extraction,General,8,35,114234
Image Defocus Deblurring,Natural Language Processing,8,35,40996
Network Pruning,Graphs,8,531,12318
Natural Language Inference,Reinforcement Learning,8,1933,6988
Audio Synthesis,Natural Language Processing,8,127,40996
Astronomy,Reinforcement Learning,8,394,6988
Radar Object Detection,General,8,29,114234
Semi-supervised Domain Adaptation,Natural Language Processing,8,133,40996
Table Recognition,Natural Language Processing,8,49,40996
Music Genre Classification,Computer Vision,8,56,54472
Anomaly Segmentation,Graphs,8,116,12318
Source-Free Domain Adaptation,Graphs,8,187,12318
Text-to-Code Generation,Natural Language Processing,8,20,40996
Garment Reconstruction,General,8,25,114234
imbalanced classification,Natural Language Processing,8,211,40996
Single Image Dehazing,Natural Language Processing,8,130,40996
Generalizable Novel View Synthesis,General,8,30,114234
Few-shot NER,Graphs,8,61,12318
Semantic correspondence,Graphs,8,175,12318
Video Enhancement,Natural Language Processing,8,110,40996
Music Source Separation,Natural Language Processing,8,107,40996
Answer Generation,Graphs,8,276,12318
Knowledge Base Construction,Natural Language Processing,8,93,40996
Evolutionary Algorithms,Graphs,8,1106,12318
In-Context Learning,Sequential,8,2291,6593
Intent Discovery,Graphs,8,42,12318
Code Summarization,Computer Vision,8,160,54472
Dialogue Management,Natural Language Processing,8,195,40996
Scene Segmentation,Graphs,8,282,12318
Referring Expression Segmentation,Graphs,8,145,12318
Malware Classification,Natural Language Processing,8,145,40996
Joint Radar-Communication,General,8,25,114234
Topological Data Analysis,Graphs,8,496,12318
Semantic Communication,Graphs,8,409,12318
Computational chemistry,Graphs,8,122,12318
Video Action Detection,General,8,32,114234
Interpretable Machine Learning,Reinforcement Learning,8,534,6988
Point Cloud Pre-training,General,8,26,114234
Class-Incremental Object Detection,General,8,17,114234
Voice Conversion,Graphs,8,520,12318
Spacecraft Pose Estimation,General,8,25,114234
Code Classification,Natural Language Processing,8,39,40996
Text to SQL,Computer Vision,8,399,54472
Diffusion MRI,Natural Language Processing,8,212,40996
Speech-to-Speech Translation,Natural Language Processing,8,117,40996
3D Classification,Natural Language Processing,8,79,40996
NavSim,Computer Vision,8,26,54472
3D Lane Detection,Natural Language Processing,8,54,40996
Rgb-T Tracking,Natural Language Processing,8,55,40996
Arithmetic Reasoning,Reinforcement Learning,8,175,6988
Bird's-Eye View Semantic Segmentation,General,8,26,114234
BEV Segmentation,Natural Language Processing,8,43,40996
Keyword Spotting,Graphs,8,405,12318
Code Search,Computer Vision,8,124,54472
Counterfactual Explanation,Natural Language Processing,8,177,40996
Spatio-Temporal Forecasting,Natural Language Processing,8,87,40996
Hypergraph Contrastive Learning,Graphs,8,8,12318
medical image detection,General,8,20,114234
Open Vocabulary Semantic Segmentation,Graphs,8,113,12318
Trajectory Modeling,Computer Vision,8,45,54472
Game Design,Computer Vision,8,99,54472
Numerical Integration,Natural Language Processing,8,242,40996
3D Face Animation,General,8,34,114234
3D Face Animation,Natural Language Processing,8,34,40996
visual instruction following,General,8,24,114234
Formation Energy,Computer Vision,8,54,54472
Real-Time Semantic Segmentation,Natural Language Processing,8,144,40996
Models Alignment,General,8,21,114234
Zero-Shot Counting,General,8,17,114234
Text to 3D,Graphs,8,314,12318
Unified Image Restoration,Computer Vision,8,17,54472
mbpp,Computer Vision,8,129,54472
Video Synchronization,Computer Vision,8,30,54472
Personalized Federated Learning,Graphs,8,311,12318
LLM-generated Text Detection,General,8,22,114234
3D Molecule Generation,General,8,37,114234
Counterfactual Inference,Natural Language Processing,8,124,40996
Multi-class Anomaly Detection,Computer Vision,8,39,54472
Explainable Models,Natural Language Processing,8,128,40996
LLM Jailbreak,Natural Language Processing,8,24,40996
PAC learning,Natural Language Processing,8,288,40996
Concept Alignment,Natural Language Processing,8,36,40996
Traffic Sign Recognition,Natural Language Processing,8,127,40996
Geophysics,Computer Vision,8,76,54472
EgoSchema,Natural Language Processing,8,40,40996
3D Inpainting,Computer Vision,8,21,54472
Multi-class Anomaly Detection,Natural Language Processing,8,39,40996
Image to Video Generation,Natural Language Processing,8,85,40996
3DGS,Graphs,8,633,12318
Reasoning Segmentation,General,8,52,114234
Kolmogorov-Arnold Networks,Graphs,8,255,12318
Entity Extraction using GAN,General,7,126,114234
Image Inpainting,Sequential,7,706,6593
Time Series Analysis,Audio,7,6730,488
Time Series Clustering,Computer Vision,7,113,54472
Online Multi-Object Tracking,Computer Vision,7,56,54472
Visual Storytelling,Sequential,7,112,6593
Paraphrase Identification,Computer Vision,7,170,54472
Stereo Matching Hand,General,7,162,114234
Image/Document Clustering,General,7,8,114234
Image Augmentation,Sequential,7,308,6593
